,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T,new_newton,new_newton_steps
175,2017-02-17,2017-03-03,815.0,GOOG,Call,15.4,0.11137,828.070007,0.03832991101984942,0.10675864885011695,1.0
176,2017-02-17,2017-03-03,820.0,GOOG,Call,12.0,0.11345,828.070007,0.03832991101984942,0.11103727873766225,1.0
177,2017-02-17,2017-03-03,822.5,GOOG,Call,10.8,0.11345,828.070007,0.03832991101984942,0.11784187406611552,1.0
178,2017-02-17,2017-03-03,827.5,GOOG,Call,7.11,0.10742,828.070007,0.03832991101984942,0.10425012644847,1.0
179,2017-02-17,2017-03-03,830.0,GOOG,Call,6.5,0.11531,828.070007,0.03832991101984942,0.11354752905993365,1.0
180,2017-02-17,2017-03-03,842.5,GOOG,Call,2.39,0.11673,828.070007,0.03832991101984942,0.11420042221155659,1.0
181,2017-02-17,2017-03-03,867.5,GOOG,Call,0.68,0.1597,828.070007,0.03832991101984942,0.153575051836081,1.0
182,2017-02-17,2017-03-10,830.0,GOOG,Call,8.7,0.12356,828.070007,0.057494866529774126,0.12008804707442983,1.0
183,2017-02-17,2017-03-10,835.0,GOOG,Call,6.7,0.11668,828.070007,0.057494866529774126,0.12170869082600469,1.0
184,2017-02-17,2017-03-10,837.5,GOOG,Call,5.2,0.11701,828.070007,0.057494866529774126,0.11378947480395142,1.0
185,2017-02-17,2017-03-10,842.5,GOOG,Call,3.56,0.11668,828.070007,0.057494866529774126,0.11159778677397769,1.0
186,2017-02-17,2017-03-10,847.5,GOOG,Call,2.7,0.11668,828.070007,0.057494866529774126,0.11624159809863363,1.0
187,2017-02-17,2017-03-10,867.5,GOOG,Call,1.05,0.136,828.070007,0.057494866529774126,0.13850025826879672,1.0
188,2017-02-17,2017-03-10,890.0,GOOG,Call,0.35,0.15795,828.070007,0.057494866529774126,0.1570306556517172,1.0
189,2017-02-17,2017-03-17,810.0,GOOG,Call,23.2,0.12565,828.070007,0.07665982203969883,0.13049692460446538,1.0
190,2017-02-17,2017-03-17,880.0,GOOG,Call,0.55,0.1221,828.070007,0.07665982203969883,0.12819054259337379,1.0
191,2017-02-17,2017-03-17,905.0,GOOG,Call,0.15,0.14627,828.070007,0.07665982203969883,0.14275781991271602,1.0
