,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T,halley,halley_steps
158,2/17/17,3/10/17,832.5,GOOGL,Call,18.53,0.12155,846.5499880000001,0.057494867000000005,0.12165029682256209,1.0
159,2/17/17,3/3/17,837.5,GOOGL,Call,13.45,0.12195999999999999,846.5499880000001,0.038329911,0.1219192448885515,1.0
160,2/17/17,3/3/17,860.0,GOOGL,Call,2.65,0.12195999999999999,846.5499880000001,0.038329911,0.11243864803876345,1.0
161,2/17/17,3/10/17,840.0,GOOGL,Call,13.4,0.12195999999999999,846.5499880000001,0.057494867000000005,0.11934577193714115,1.0
162,2/17/17,3/10/17,850.0,GOOGL,Call,8.1,0.12195999999999999,846.5499880000001,0.057494867000000005,0.11854923390990835,1.0
163,2/17/17,3/10/17,852.5,GOOGL,Call,7.0,0.12195999999999999,846.5499880000001,0.057494867000000005,0.11795108405971286,1.0
164,2/17/17,3/24/17,825.0,GOOGL,Call,26.6,0.12199000000000002,846.5499880000001,0.09582477800000001,0.1233820538466549,1.0
165,2/17/17,2/24/17,850.0,AMZN,Call,3.73,0.12204000000000001,845.070007,0.019164956,0.12470106277542034,1.0
166,2/17/17,3/17/17,880.0,GOOG,Call,0.55,0.1221,828.070007,0.076659822,0.1281905426269417,1.0
167,2/17/17,3/10/17,117.5,TLT,Put,0.47,0.12224000000000002,120.32,0.057494867000000005,0.13006846288778853,1.0
168,2/17/17,3/17/17,830.0,GOOGL,Call,22.3,0.12268,846.5499880000001,0.076659822,0.1299764538904053,1.0
169,2/17/17,6/16/17,126.0,TLT,Call,1.34,0.12287000000000001,120.32,0.32580424399999997,0.12133708725160139,1.0
170,2/17/17,2/24/17,124.5,TLT,Call,0.02,0.12293,120.32,0.019164956,0.1254230119651581,1.0
171,2/17/17,3/24/17,126.5,TLT,Call,0.2,0.12305999999999999,120.32,0.09582477800000001,0.12106027915791066,1.0
172,2/17/17,3/10/17,143.0,FFIV,Call,1.78,0.12314000000000001,143.350006,0.057494867000000005,0.11514428523123214,1.0
173,2/17/17,3/17/17,875.0,GOOGL,Put,30.67,0.12326,846.5499880000001,0.076659822,0.12164429469854132,1.0
174,2/17/17,3/3/17,34.0,CSCO,Put,0.46,0.12329000000000001,33.740002000000004,0.038329911,0.1199498848567162,1.0
175,2/17/17,3/10/17,830.0,GOOG,Call,8.7,0.12355999999999999,828.070007,0.057494867000000005,0.12008804657185769,1.0
176,2/17/17,3/3/17,845.0,GOOG,Call,2.02,0.12358,828.070007,0.038329911,0.11715319031587688,1.0
177,2/17/17,9/15/17,130.0,TLT,Call,1.43,0.12375,120.32,0.574948665,0.12401577314154984,1.0
178,2/17/17,3/3/17,75.0,CMCSA,Call,0.94,0.12382,75.32,0.038329911,0.12967643506812715,1.0
179,2/17/17,3/10/17,33.5,CSCO,Put,0.31,0.12383,33.740002000000004,0.057494867000000005,0.13159957303064967,1.0
180,2/17/17,4/21/17,119.0,TLT,Put,1.9,0.12387999999999999,120.32,0.1724846,0.1286082701031885,1.0
181,2/17/17,2/24/17,855.0,GOOGL,Put,11.31,0.12401,846.5499880000001,0.019164956,0.13314683382332107,1.0
182,2/17/17,3/24/17,128.5,TLT,Call,0.08,0.12401,120.32,0.09582477800000001,0.12200791965713183,1.0
183,2/17/17,3/3/17,33.5,CSCO,Put,0.24,0.12415,33.740002000000004,0.038329911,0.13310489893446242,1.0
184,2/17/17,3/24/17,128.0,TLT,Call,0.12,0.12422000000000001,120.32,0.09582477800000001,0.12611074649159768,1.0
185,2/17/17,3/3/17,119.5,TLT,Put,0.78,0.12426,120.32,0.038329911,0.12309882644995275,1.0
186,2/17/17,3/10/17,37.5,INTC,Call,0.13,0.12427,36.48,0.057494867000000005,0.13366701828235608,1.0
187,2/17/17,3/3/17,125.5,TLT,Call,0.06,0.12428,120.32,0.038329911,0.12803302777878622,1.0
188,2/17/17,3/3/17,125.0,TLT,Call,0.07,0.1244,120.32,0.038329911,0.12208772039559553,1.0
189,2/17/17,3/3/17,126.0,TLT,Call,0.05,0.12462000000000001,120.32,0.038329911,0.1329699253822069,1.0
190,2/17/17,6/16/17,150.0,CHDN,Call,7.5,0.12480999999999999,155.100006,0.32580424399999997,0.12424668411205496,1.0
191,2/17/17,3/3/17,875.0,GOOGL,Call,0.83,0.12482,846.5499880000001,0.038329911,0.12334210458266742,1.0
192,2/17/17,3/3/17,36.5,INTC,Call,0.35,0.12484,36.48,0.038329911,0.12508824772649016,1.0
193,2/17/17,3/10/17,37.0,INTC,Call,0.24,0.12499,36.48,0.057494867000000005,0.1279294918824442,1.0
194,2/17/17,3/3/17,124.5,TLT,Call,0.09,0.12500999999999998,120.32,0.038329911,0.11840103534046993,1.0
195,2/17/17,3/10/17,120.5,TLT,Put,1.58,0.12503,120.32,0.057494867000000005,0.13079051597392852,1.0
196,2/17/17,4/21/17,114.0,TLT,Put,0.51,0.12503,120.32,0.1724846,0.1298898658587462,1.0
197,2/17/17,2/24/17,877.5,GOOGL,Call,0.13,0.12504,846.5499880000001,0.019164956,0.12918346827663518,1.0
198,2/17/17,3/3/17,118.5,TLT,Put,0.52,0.12505,120.32,0.038329911,0.1316421461084562,1.0
199,2/17/17,6/16/17,124.0,TLT,Call,1.77,0.12515,120.32,0.32580424399999997,0.11566792935432967,1.0
200,2/17/17,3/17/17,100.0,GK,Call,0.05,0.12532000000000001,94.489998,0.076659822,0.11593869136782513,1.0
201,2/17/17,3/17/17,815.0,GOOG,Call,20.1,0.12542,828.070007,0.076659822,0.13519503135993316,1.0
