,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T
231,2017-02-17,2017-08-18,45.0,ABAX,Put,3.4,0.49554,49.66,0.49828884325804246
232,2017-02-17,2017-03-17,105.0,ABMD,Call,10.8,0.1325,116.57,0.07665982203969883
233,2017-02-17,2017-03-17,110.0,ABMD,Call,8.2,0.177,116.57,0.07665982203969883
234,2017-02-17,2017-03-17,115.0,ABMD,Call,4.0,0.21863000000000002,116.57,0.07665982203969883
235,2017-02-17,2017-03-17,120.0,ABMD,Call,2.19,0.25075,116.57,0.07665982203969883
236,2017-02-17,2017-03-17,125.0,ABMD,Call,1.04,0.25022,116.57,0.07665982203969883
237,2017-02-17,2017-03-17,105.0,ABMD,Put,1.07,0.36407,116.57,0.07665982203969883
238,2017-02-17,2017-03-17,110.0,ABMD,Put,1.9,0.31487,116.57,0.07665982203969883
239,2017-02-17,2017-03-17,115.0,ABMD,Put,9.7,0.41265,116.57,0.07665982203969883
240,2017-02-17,2017-03-17,120.0,ABMD,Put,6.7,0.30744,116.57,0.07665982203969883
241,2017-02-17,2017-03-17,125.0,ABMD,Put,15.55,0.40318000000000004,116.57,0.07665982203969883
242,2017-02-17,2017-06-16,110.0,ABMD,Call,12.2,0.2866,116.57,0.3258042436687201
243,2017-02-17,2017-06-16,115.0,ABMD,Call,8.3,0.26934,116.57,0.3258042436687201
244,2017-02-17,2017-06-16,120.0,ABMD,Call,7.2,0.24844000000000002,116.57,0.3258042436687201
245,2017-02-17,2017-06-16,125.0,ABMD,Call,5.65,0.27439,116.57,0.3258042436687201
246,2017-02-17,2017-06-16,105.0,ABMD,Put,4.75,0.42928999999999995,116.57,0.3258042436687201
247,2017-02-17,2017-06-16,110.0,ABMD,Put,6.4,0.43115,116.57,0.3258042436687201
248,2017-02-17,2017-06-16,115.0,ABMD,Put,12.13,0.35643,116.57,0.3258042436687201
249,2017-02-17,2017-06-16,120.0,ABMD,Put,19.7,0.3771,116.57,0.3258042436687201
250,2017-02-17,2017-06-16,125.0,ABMD,Put,17.26,0.41353,116.57,0.3258042436687201
251,2017-02-17,2017-09-15,105.0,ABMD,Call,14.8,0.27943,116.57,0.5749486652977412
252,2017-02-17,2017-09-15,110.0,ABMD,Call,11.9,0.30283000000000004,116.57,0.5749486652977412
253,2017-02-17,2017-09-15,115.0,ABMD,Call,9.9,0.30787,116.57,0.5749486652977412
254,2017-02-17,2017-09-15,120.0,ABMD,Call,9.0,0.26205,116.57,0.5749486652977412
255,2017-02-17,2017-09-15,125.0,ABMD,Call,8.9,0.32661,116.57,0.5749486652977412
256,2017-02-17,2017-09-15,110.0,ABMD,Put,12.07,0.42486,116.57,0.5749486652977412
257,2017-02-17,2017-09-15,125.0,ABMD,Put,24.8,0.44606,116.57,0.5749486652977412
258,2017-02-17,2017-03-17,2.5,AXAS,Call,0.1,0.5625,2.31,0.07665982203969883
259,2017-02-17,2017-03-17,2.5,AXAS,Put,0.23,0.75631,2.31,0.07665982203969883
260,2017-02-17,2017-06-16,2.5,AXAS,Call,0.25,0.62259,2.31,0.3258042436687201
261,2017-02-17,2017-06-16,2.5,AXAS,Put,0.45,0.83893,2.31,0.3258042436687201
262,2017-02-17,2017-09-15,2.5,AXAS,Call,0.4,0.64162,2.31,0.5749486652977412
263,2017-02-17,2017-09-15,2.5,AXAS,Put,0.5,0.6290899999999999,2.31,0.5749486652977412
264,2017-02-17,2017-03-17,60.0,ACIA,Call,8.65,0.74907,66.58000200000001,0.07665982203969883
265,2017-02-17,2017-03-17,65.0,ACIA,Call,5.8,0.6907300000000001,66.58000200000001,0.07665982203969883
266,2017-02-17,2017-03-17,70.0,ACIA,Call,3.7,0.78464,66.58000200000001,0.07665982203969883
267,2017-02-17,2017-03-17,60.0,ACIA,Put,2.4,0.74841,66.58000200000001,0.07665982203969883
268,2017-02-17,2017-03-17,65.0,ACIA,Put,4.6,0.7074,66.58000200000001,0.07665982203969883
269,2017-02-17,2017-03-17,70.0,ACIA,Put,7.9,0.774,66.58000200000001,0.07665982203969883
270,2017-02-17,2017-05-19,60.0,ACIA,Call,11.22,0.63262,66.58000200000001,0.24914442162902123
