ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,IV,currentDate,YTM
17-Mar-17,35,SHLM,Call,0.6,,0.25,1.2,1,0,0.38271,0.12495,0.00931,-0.02591,0.03747,0.875,2/17/17,28
21-Apr-17,35,SHLM,Call,1.5,,1.8,2.05,0,171,0.47197,0.07126,0.02424,-0.02287,0.05561,0.5912,2/17/17,63
21-Jul-17,35,SHLM,Call,4.28,,2.7,3.4,0,32,0.52232,0.05226,0.06219,-0.01405,0.08614,0.49661,2/17/17,154
17-Mar-17,35,AAON,Call,1.19,,0.65,1.4,0,3,0.45485,0.12941,0.0112,-0.02777,0.03751,0.30831,2/17/17,28
21-Apr-17,35,AAON,Call,1.1,,1.1,1.55,0,32,0.48888,0.10354,0.02659,-0.01689,0.0562,0.28104,2/17/17,63
17-Feb-17,50,ABAX,Call,2.2,,,0.6,0,11,0.15191,0.78069,0,-11.34654,0,1.07671,2/17/17,0
17-Feb-17,45,ABAX,Put,0.75,,,0.95,0,23,0,0,0,0,0,1.91481,2/17/17,0
17-Feb-17,50,ABAX,Put,0.2,-1.1,0.05,1.95,7,306,-0.84496,0.78227,0,-11.63304,0,0.22625,2/17/17,0
17-Mar-17,50,ABAX,Call,1.3,-1,0.95,1.7,16,114,0.49715,0.13305,0.01808,-0.02975,0.05377,0.28472,2/17/17,28
17-Mar-17,45,ABAX,Put,2.15,,0.2,0.7,0,10,-0.15163,0.04632,-0.00561,-0.02333,0.03268,0.97543,2/17/17,28
17-Mar-17,50,ABAX,Put,2.2,,1.6,2.4,0,72,-0.49521,0.08435,-0.01562,-0.03909,0.05364,0.27923,2/17/17,28
19-May-17,45,ABAX,Put,2,,1.75,2.4,0,10,-0.28476,0.02912,-0.03546,-0.02325,0.08869,0.52206,2/17/17,91
19-May-17,50,ABAX,Put,3.8,,3.7,4.6,0,110,-0.45943,0.04385,-0.04869,-0.02229,0.09589,0.28489,2/17/17,91
